,id,telefone,cpf,nome_completo,email,senha
0,2,11976543210,98765432109,Ana Clara Araujo Costa,ana.costa@eitruck.com,$2a$10$Kj99UIECJuueNZ26mnARaOaaVzotMYIa5s.og7KNxkClazjgaixsS
1,3,11965432109,11122233485,Giovanna Quirino,giovanna.quirino@eitruck.com,$2a$10$Kj99UIECJuueNZ26mnARaOaaVzotMYIa5s.og7KNxkClazjgaixsS
2,4,11954321098,55566677823,Beatriz Dias Inacio,beatriz.inacio@eitruck.com,$2a$10$Kj99UIECJuueNZ26mnARaOaaVzotMYIa5s.og7KNxkClazjgaixsS
3,5,11943210987,99988877741,Verena Marostica Marcelino,verena.marcelino@eitruck.com,$2a$10$Kj99UIECJuueNZ26mnARaOaaVzotMYIa5s.og7KNxkClazjgaixsS
4,7,11921098765,77788899937,Marcelo Paschoareli de Moura Barros,marcelo.barros@eitruck.com,$2a$10$Kj99UIECJuueNZ26mnARaOaaVzotMYIa5s.og7KNxkClazjgaixsS
5,8,11910987654,44455566614,Isabela Morais Neu,isabela.neu@eitruck.com,$2a$10$Kj99UIECJuueNZ26mnARaOaaVzotMYIa5s.og7KNxkClazjgaixsS
6,9,11999887766,88899912345,Joao Victor de Camargo,joao.camargo@eitruck.com,$2a$10$Kj99UIECJuueNZ26mnARaOaaVzotMYIa5s.og7KNxkClazjgaixsS
7,10,11988776655,22233344476,Daniel Tognelli Severo,daniel.severo@eitruck.com,$2a$10$Kj99UIECJuueNZ26mnARaOaaVzotMYIa5s.og7KNxkClazjgaixsS
8,11,11977665544,66677788851,Bruno Urias Ferraz,bruno.ferraz@eitruck.com,$2a$10$Kj99UIECJuueNZ26mnARaOaaVzotMYIa5s.og7KNxkClazjgaixsS
9,12,11966554433,11100099912,Matheus Bastos Castilho,matheus.castilho@eitruck.com,$2a$10$Kj99UIECJuueNZ26mnARaOaaVzotMYIa5s.og7KNxkClazjgaixsS
10,6,11932109876,33344455591,Igor Eduardo Quinto,igor.quinto@eitruck.com,$2a$10$Kj99UIECJuueNZ26mnARaOaaVzotMYIa5s.og7KNxkClazjgaixsS
11,1,11987654321,12345678901,Samuel Pimenta ,samuel.hironimus@eitruck.com,$2a$10$Kj99UIECJuueNZ26mnARaOaaVzotMYIa5s.og7KNxkClazjgaixsS
